,Hydrothermal temperature,Hydrothermal time,Particle size,Solid to liquid ratio,Anaerobic temperature,Anaerobic time,Lignin,Cellulose,Hemicellulose,Cumulative methane production
0,50.0,1440.0,0.85,0.167,35.0,50.0,4.81,35.85,28.36,83.23
1,70.0,2880.0,0.85,0.167,35.0,50.0,4.81,35.85,28.36,129.7
2,150.0,20.0,0.6,0.19520999999999997,35.0,45.0,14.6,28.2,17.5,134.0
3,150.0,10.0,0.6,0.19520999999999997,35.0,45.0,14.6,28.2,17.5,108.0
4,150.0,30.0,0.6,0.19461999999999996,35.0,45.0,14.6,28.2,17.5,124.0
5,210.0,10.0,0.6,0.19534999999999997,35.0,45.0,14.6,28.2,17.5,68.0
6,210.0,30.0,0.6,0.19475999999999996,35.0,45.0,14.6,28.2,17.5,55.0
7,210.0,20.0,0.6,0.19534999999999997,35.0,45.0,14.6,28.2,17.5,28.0
8,160.0,15.0,2.0,0.058,37.0,35.0,7.304300000000009,40.6282,32.33569999999998,302.0
9,160.0,45.0,2.0,0.058,37.0,35.0,6.21380000000001,40.672599999999996,32.72369999999997,310.0
10,170.0,30.0,2.0,0.058,37.0,35.0,6.21380000000001,40.58259999999999,32.36369999999999,299.0
11,180.0,15.0,2.0,0.058,37.0,35.0,7.447300000000009,40.7312,32.33569999999998,298.0
12,180.0,45.0,2.0,0.058,37.0,35.0,6.47880000000001,40.77559999999999,32.72369999999997,289.0
13,95.0,120.0,0.85,0.167,35.0,40.0,5.5,35.1,29.5,206.0
14,95.0,240.0,0.85,0.167,35.0,40.0,5.5,35.1,29.5,206.8
15,95.0,360.0,0.85,0.167,35.0,40.0,5.5,35.1,29.5,214.8
16,95.0,720.0,0.85,0.167,35.0,40.0,5.5,35.1,29.5,198.7
17,95.0,1080.0,0.85,0.167,35.0,40.0,5.5,35.1,29.5,197.3
18,95.0,1440.0,0.85,0.167,35.0,40.0,5.5,35.1,29.5,196.2
19,95.0,1800.0,0.85,0.167,35.0,40.0,5.5,35.1,29.5,192.5
20,95.0,2160.0,0.85,0.167,35.0,40.0,5.5,35.1,29.5,184.4
21,175.0,30.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,202.81
22,225.0,60.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,42.25
23,150.0,30.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,175.55
24,225.0,30.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,69.09
25,225.0,5.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,87.06
26,200.0,30.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,145.07
27,200.0,60.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,75.51
28,200.0,5.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,146.47
29,175.0,5.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,162.19
30,175.0,60.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,93.79
31,150.0,5.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,169.06
32,150.0,60.0,30.0,0.0333,36.0,41.0,21.61,39.77,26.15,169.92
33,80.0,1440.0,0.85,0.18229000000000006,35.0,50.0,8.21,35.33,24.49,299.5
34,190.0,30.0,10.0,0.0627259999999999,35.0,40.0,6.575500000000011,42.51839999999997,32.421600000000005,372.0
35,120.0,30.0,36.0,0.19643999999999984,37.0,30.0,8.616699999999998,20.281099999999988,27.219700000000042,214.8
36,140.0,30.0,5.0,0.11647199999999984,35.0,20.0,10.05,36.24,28.95,282.82
37,120.0,60.0,0.833,0.0909,37.0,45.0,22.0,36.64290000000001,25.677200000000017,191.4
38,190.0,30.0,0.84,0.174,37.0,30.0,16.1,34.38869999999999,25.698900000000002,241.0
39,75.0,30.0,2.0,0.1925499999999999,38.0,30.0,21.06,34.23,26.39,267.0
40,150.0,30.0,0.85,0.167,35.0,30.0,7.1464000000000025,32.227299999999985,28.36,158.07
41,100.0,20.0,0.85,0.167,35.0,30.0,7.055500000000002,31.467599999999983,28.36,151.54
42,125.0,15.0,6.0,0.1,35.0,42.0,10.2,40.1,32.3,197.1
43,150.0,15.0,6.0,0.1,35.0,42.0,10.2,40.1,32.3,205.6
44,175.0,15.0,6.0,0.1,35.0,42.0,10.2,40.1,32.3,248.2
45,200.0,15.0,6.0,0.1,35.0,42.0,10.2,40.1,32.3,129.4
46,160.0,30.0,10.0,1.0,35.0,52.0,11.7,59.4,28.9,263.93
47,180.0,30.0,10.0,1.0,35.0,52.0,11.7,59.4,28.9,289.47
48,200.0,30.0,10.0,1.0,35.0,52.0,11.7,59.4,28.9,236.95
49,220.0,30.0,10.0,1.0,35.0,52.0,11.7,59.4,28.9,213.87
50,140.0,30.0,1.0,0.167,35.0,21.0,9.122799999999993,32.612299999999976,27.805399999999995,116.72
51,160.0,10.0,1.0,0.167,35.0,21.0,9.582799999999997,32.11819999999997,27.782799999999998,103.9
52,180.0,30.0,1.0,0.167,35.0,21.0,9.247699999999991,32.61279999999997,27.696299999999997,62.37
53,210.0,15.0,0.7,0.05,35.0,63.0,21.357699999999994,44.80480000000002,20.2357,225.9
54,210.0,15.0,0.7,0.05,35.0,63.0,20.608999999999988,44.64820000000002,20.192100000000003,161.2
55,210.0,15.0,0.7,0.05,35.0,63.0,20.608999999999988,44.611800000000024,20.220100000000002,177.2
56,150.0,10.0,10.0,0.25,53.0,39.0,7.433200000000002,26.048099999999994,27.168100000000035,301.0
57,150.0,20.0,10.0,0.25,53.0,39.0,8.157799999999998,26.3108,27.010900000000046,293.0
58,180.0,10.0,10.0,0.25,53.0,39.0,7.563200000000002,26.048099999999994,27.061000000000035,337.0
59,180.0,20.0,10.0,0.25,53.0,39.0,7.375700000000003,26.563399999999998,27.273900000000037,283.0
60,100.0,15.0,3.0,0.05056199999999994,38.0,40.0,22.0,47.1,24.1,123.3
61,120.0,20.0,9.0968,0.333,37.0,28.0,4.1,30.0,26.8,432.84
62,130.0,20.0,9.0968,0.333,37.0,28.0,4.1,30.0,26.8,436.69
63,140.0,20.0,9.0968,0.333,37.0,28.0,4.1,30.0,26.8,445.4
64,150.0,20.0,9.0968,0.333,37.0,28.0,4.1,30.0,26.8,476.5
65,160.0,20.0,9.0968,0.333,37.0,28.0,4.1,30.0,26.8,502.5
66,170.0,20.0,9.0968,0.333,37.0,28.0,4.1,30.0,26.8,490.0
67,200.0,20.0,9.0968,0.333,37.0,28.0,4.1,30.0,26.8,424.52
68,150.0,5.0,23.087199999999992,0.2,37.5,30.0,9.3,11.34,27.13,323.44
69,150.0,20.0,23.994499999999995,0.2,37.5,30.0,9.3,11.34,27.13,340.8
70,200.0,5.0,22.98389999999999,0.2,37.5,30.0,9.3,11.34,27.13,252.89
71,200.0,20.0,22.83982999999999,0.2,37.5,30.0,9.3,11.34,27.13,189.76
72,140.0,12.5,23.087199999999992,0.2,37.5,30.0,9.3,11.34,27.13,321.95
73,210.0,12.5,22.98392999999999,0.2,37.5,30.0,9.3,11.34,27.13,214.68
74,175.0,2.0,23.067099999999993,0.2,37.5,30.0,9.3,11.34,27.13,320.94
75,175.0,23.0,22.882899999999985,0.2,37.5,30.0,9.3,11.34,27.13,288.03
76,175.0,12.5,23.067099999999993,0.2,37.5,30.0,9.3,11.34,27.13,299.53
77,55.0,1440.0,3.0,0.16642999999999994,35.0,36.22,29.7,34.0,20.8,198.0
78,170.0,60.0,3.0,0.16642999999999994,35.0,36.14,29.7,34.0,20.8,219.0
79,180.0,60.0,1.0,0.1,37.0,45.0,26.8,38.13850000000001,26.366400000000002,223.0
80,160.0,30.0,1.00083,0.18629000000000004,35.0,50.0,15.83,27.11,27.48,258.38
81,120.0,30.0,0.8882799999999998,0.18380000000000002,35.0,50.0,15.83,27.11,27.48,232.66
82,80.0,30.0,0.8248800000000002,0.18470999999999996,35.0,50.0,15.83,27.11,27.48,205.42
83,160.0,20.0,3.0,0.1,37.0,35.0,14.53,35.8,24.4,156.99
84,180.0,20.0,3.0,0.1,37.0,35.0,14.53,35.8,24.4,206.41
85,200.0,20.0,3.0,0.1,37.0,35.0,14.53,35.8,24.4,138.94
86,220.0,20.0,3.0,0.1,37.0,35.0,14.53,35.8,24.4,128.45
87,20.0,1440.0,2.0,0.9730000000000001,35.0,60.0,8.599200000000005,56.85479999999993,30.378200000000007,328.0
88,120.0,30.0,2.0,0.10078599999999988,35.0,60.0,10.644700000000014,46.461400000000005,32.48050000000002,296.0
89,160.0,30.0,2.0,0.1019299999999999,35.0,60.0,10.971200000000016,46.8592,30.744000000000018,269.0
90,180.0,30.0,2.0,0.1040299999999999,35.0,60.0,11.184200000000015,47.0522,30.744000000000018,268.0
91,200.0,30.0,2.0,0.1052299999999999,35.0,60.0,11.32790000000001,46.81880000000001,30.64800000000002,211.0
92,40.0,60.0,1.0,0.07766599999999987,35.0,31.0,4.1,48.9,35.1,242.0
93,100.0,60.0,1.0,0.0691029999999999,35.0,31.0,4.1,48.9,35.1,282.0
94,160.0,60.0,1.0,0.06568299999999991,35.0,31.0,4.1,48.9,35.1,273.0
95,40.0,60.0,1.0,0.07064899999999989,35.0,31.0,6.5,49.1,34.1,201.0
96,100.0,60.0,1.0,0.0673789999999999,35.0,31.0,6.5,49.1,34.1,199.0
97,160.0,60.0,1.0,0.0635389999999999,35.0,31.0,6.5,49.1,34.1,224.0
98,90.0,30.0,2.1539799999999993,0.09286399999999992,40.0,60.0,21.755299999999988,39.0351,25.89690000000002,295.0
99,120.0,30.0,1.44246,0.13160199999999989,40.0,60.0,20.149299999999986,36.54120000000001,25.817400000000017,299.0
100,170.0,60.0,2.0828599999999997,0.19279999999999992,37.0,14.0,17.330499999999986,30.7676,25.155600000000007,326.0
