,Hydrothermal temperature,Hydrothermal time,Particle size,Solid to liquid ratio,Anaerobic temperature,Anaerobic time,Lignin,Cellulose,Hemicellulose,Cumulative methane production
0,50,1440,0.85,0.167,35,50,4.81,35.85,28.36,83.23
1,70,2880,0.85,0.167,35,50,4.81,35.85,28.36,129.7
2,150,20,0.6,0.104002887,35,45,14.6,28.2,17.5,134
3,150,10,0.6,0.085167278,35,45,14.6,28.2,17.5,108
4,150,30,0.6,0.104002887,35,45,14.6,28.2,17.5,124
5,210,10,0.6,0.088013892,35,45,14.6,28.2,17.5,68
6,210,30,0.6,0.122017553,35,45,14.6,28.2,17.5,55
7,210,20,0.6,0.122017553,35,45,14.6,28.2,17.5,28
8,160,15,2,0.058,37,35,7.192862341,33.43091369,33.81210143,302
9,160,45,2,0.058,37,35,13.85518534,30.25491011,26.95744709,310
10,170,30,2,0.058,37,35,13.85518534,29.95911438,26.95744709,299
11,180,15,2,0.058,37,35,7.192862341,33.28674504,33.81210143,298
12,180,45,2,0.058,37,35,13.85518534,29.95911438,26.95744709,289
13,95,120,0.85,0.167,35,40,5.5,35.1,29.5,206
14,95,240,0.85,0.167,35,40,5.5,35.1,29.5,206.8
15,95,360,0.85,0.167,35,40,5.5,35.1,29.5,214.8
16,95,720,0.85,0.167,35,40,5.5,35.1,29.5,198.7
17,95,1080,0.85,0.167,35,40,5.5,35.1,29.5,197.3
18,95,1440,0.85,0.167,35,40,5.5,35.1,29.5,196.2
19,95,1800,0.85,0.167,35,40,5.5,35.1,29.5,192.5
20,95,2160,0.85,0.167,35,40,5.5,35.1,29.5,184.4
21,175,30,30,0.0333,36,41,21.61,39.77,26.15,202.81
22,225,60,30,0.0333,36,41,21.61,39.77,26.15,42.25
23,150,30,30,0.0333,36,41,21.61,39.77,26.15,175.55
24,225,30,30,0.0333,36,41,21.61,39.77,26.15,69.09
25,225,5,30,0.0333,36,41,21.61,39.77,26.15,87.06
26,200,30,30,0.0333,36,41,21.61,39.77,26.15,145.07
27,200,60,30,0.0333,36,41,21.61,39.77,26.15,75.51
28,200,5,30,0.0333,36,41,21.61,39.77,26.15,146.47
29,175,5,30,0.0333,36,41,21.61,39.77,26.15,162.19
30,175,60,30,0.0333,36,41,21.61,39.77,26.15,93.79
31,150,5,30,0.0333,36,41,21.61,39.77,26.15,169.06
32,150,60,30,0.0333,36,41,21.61,39.77,26.15,169.92
33,80,1440,0.85,0.34237601,35,50,8.21,35.33,24.49,299.5
34,190,30,10,0.589325643,35,40,8.015346142,51.13189041,30.98404892,372
35,120,30,36,0.334125632,37,30,6.644932433,48.04735364,31.72531336,214.8
36,140,30,5,0.416732549,35,20,10.05,36.24,28.95,282.82
37,120,60,0.833,0.0909,37,45,22,38.39548353,24.70940414,191.4
38,190,30,0.84,0.174,37,30,16.1,27.98031936,25.44537307,241
39,75,30,2,0.144082334,38,30,21.06,34.23,26.39,267
40,150,30,0.85,0.167,35,30,4.951868118,32.38005526,28.36,158.07
41,100,20,0.85,0.167,35,30,3.489710014,34.65261457,28.36,151.54
42,125,15,6,0.1,35,42,10.2,40.1,32.3,197.1
43,150,15,6,0.1,35,42,10.2,40.1,32.3,205.6
44,175,15,6,0.1,35,42,10.2,40.1,32.3,248.2
45,200,15,6,0.1,35,42,10.2,40.1,32.3,129.4
46,160,30,10,1,35,52,11.7,59.4,28.9,263.93
47,180,30,10,1,35,52,11.7,59.4,28.9,289.47
48,200,30,10,1,35,52,11.7,59.4,28.9,236.95
49,220,30,10,1,35,52,11.7,59.4,28.9,213.87
50,140,30,1,0.167,35,21,17.3238195,30.56691624,20.98584792,116.72
51,160,10,1,0.167,35,21,13.29469426,31.21449737,21.08973571,103.9
52,180,30,1,0.167,35,21,16.94001135,30.27112051,20.57536575,62.37
53,210,15,0.7,0.05,35,63,12.15825804,26.9047749,26.57330463,225.9
54,210,15,0.7,0.05,35,63,15.06978614,33.54432694,25.47601428,161.2
55,210,15,0.7,0.05,35,63,15.22108292,27.94134037,26.45722018,177.2
56,150,10,10,0.25,53,39,7.164083557,47.81743979,31.58339475,301
57,150,20,10,0.25,53,39,7.164083557,47.81743979,31.58339475,293
58,180,10,10,0.25,53,39,7.164083557,47.81743979,31.58339475,337
